date,target,days_to_news,open,high,low,close,vol,signed_volume,zero_vol_mins_count,significant_mins_count,max_signed_volume,trade_value,trade_value_std,RSI_above_80_count,RSI_below_20_count,avg_price,max_box_cross_2p_count,price_cross_bb,30d_avg_trade_value,trade_val_ratio,body_vs_shadow,interaday_volatility,cloud_width_to_range,max_10_min_price_change_pos,max_10_min_price_change_neg,max_10_min_trade_Value,correlation,RSI
2017-10-15,0,0,126.43999999999998,127.350368,123.9112,126.43999999999998,169722358.4308763,-795523,102,0,5135467.999999589,21421473787,322055567.59179986,13,37,126.2148015443966,1,15,19218016267,1.1146558255110186,0,0.5068207071533836,1.4066690259629946,0.02584493,-0.020408163,6462060564,-0.124967115,23.747390396659597
2017-10-16,0,0,126.48814887751082,128.41,125.52722331626624,128.41,190553601.01238224,8587088.999999817,84,0,13642499.999999903,24104261574,382865028.0636932,11,14,126.49596463114702,0,18,19519392464.366665,1.234887900225541,0.6666666666666683,0.45231307529249376,1.687151774357657,0.008333333,-0.007252216,5195686127,-0.264157617,31.52804642166339
2017-10-17,0,0,126.743456,128.91822399999998,125.731936,126.43999999999998,62566039.22809238,6825490.999999821,93,0,5609645.999999834,7934530675,113263134.0915898,7,50,126.81849087607524,0,11,19602296511.533333,0.4047755664919969,0.095238095,0.6533563501057261,1.546176022,0.019223224794036858,-0.018377946,1110712870,-0.31660804,30.71125765426278
2017-10-18,0,0,126.43942423030788,129.47397041183527,125.57963614554178,126.49,87929833.33860384,56873921.99999997,48,0,54437460.00000002,11134405185,163229502.13288257,5,11,126.62829852210876,0,14,19463614978.333332,0.5720625483701095,0.012987012987011281,0.5216465562809722,1.265058869377245,0.027343750000000038,-0.023190724,2198764749,0.21462872016185403,31.01983003
2017-10-21,0,0,126.43995098039215,126.94571078431372,123.81,123.81,94225064.21129149,-5431892,72,0,448795.0000000206,11724375834,123637108.24748707,11,23,124.42948096813294,1,18,19440307192,0.6030962226258286,0.838709677,0.5879444818759539,1.5827454678573047,0.006857604,-0.013436482,3584343758,-0.735079352,28.124999999999986
2017-10-22,0,0,123.80631924497334,126.4361920393927,122.8959786622897,123.25,44236601.955375254,32716605.999999944,111,0,31499999.999999974,5495285418,96722756.61839671,15,36,124.22485396919733,0,13,19359830919,0.28384986629971454,0.15714285714286036,0.7648824958305566,1.5306458841730632,0.027599999999999954,-0.019309778,1850572873,0.084612915,36.09890109890109
2017-10-23,0,0,123.96188976377954,124.87225859925404,121.48366348943225,122.04,149141629.97377908,11335896.000000114,63,0,14289000.000000063,18270979644,189486133.08743998,0,19,122.50757650437548,1,17,19535270201.233334,0.9352816447272116,0.5671641791044799,0.6097392336145231,1.7368821663957383,0.020251113811259512,-0.017369727,3552228015,0.844920161,32.810047095761334
2017-10-24,0,0,121.48403340292276,122.49555741127348,120.62423799582464,121.13,117579235.90357468,919081.0000000293,64,0,1448999.9999999988,14289240656,206566349.9683972,5,6,121.52860618790238,0,19,19350029513.633335,0.7384609230664126,0.18918918918919636,0.43595246877964816,3.252980687098491,0.007438017,-0.007528231,3739443647.9999995,-0.008462041,27.85939139559288
2017-10-25,0,0,120.76975115984816,121.88237030788696,119.65713201180937,119.91,135095787.50729716,-2900548,54,0,831515.9999999617,16208920289,130898128.61483179,5,13,119.98094528391184,0,18,19291934891.466667,0.8401915297863478,0.38636363636363563,0.4304561745262306,2.7356018133328255,0.004189359,-0.00921273,3710952247,-0.809178818,30.96209912536446
2017-10-28,0,0,119.96691525423728,121.43362711864404,119.05654237288137,119.36,71512132.37265415,257545.99999998492,84,0,1717833.000000058,8572969408,100818975.94177282,2,35,119.88132815458117,0,23,19225065889.166668,0.4459266593635381,0.2553191489361706,0.6298345081426309,2.560842245,0.011666666666666728,-0.010570825,1835664056,-0.718177065,35.00329597890574
2017-10-29,0,0,119.86395918367346,124.01115102040816,119.25705306122448,123.91,305588237.02687436,28424714.00000026,68,0,14500000.000000164,37251008983,397993914.2983162,21,14,121.899355,1,31,20032843039.566666,1.859496872681821,0.8510638297872343,0.8930944697425602,1.2004487190925637,0.020408163265306034,-0.015664691,11182118679,0.15868670106627508,50
