iter	Passed	Remaining
929	8909	6419
930	8919	6409
931	8928	6399
932	8936	6388
933	8945	6378
934	8954	6369
935	8964	6359
936	8972	6348
937	8982	6339
938	8991	6329
939	9000	6319
940	9008	6308
941	9017	6298
942	9026	6289
943	9035	6278
944	9044	6269
945	9053	6259
946	9064	6250
947	9075	6241
948	9083	6231
949	9093	6221
950	9101	6211
951	9111	6201
952	9120	6191
953	9128	6181
954	9136	6171
955	9146	6161
956	9155	6151
957	9164	6141
958	9172	6131
959	9181	6120
960	9190	6111
961	9200	6101
962	9210	6092
963	9218	6082
964	9227	6071
965	9235	6061
966	9245	6052
967	9253	6041
968	9262	6031
969	9271	6021
970	9280	6011
971	9290	6002
972	9298	5991
973	9308	5982
974	9317	5972
975	9325	5961
976	9333	5951
977	9342	5942
978	9352	5932
979	9363	5923
980	9382	5920
981	9392	5910
982	9402	5901
983	9412	5892
984	9422	5883
985	9435	5875
986	9449	5868
987	9461	5860
988	9473	5852
989	9484	5844
990	9493	5834
991	9503	5824
992	9512	5814
993	9520	5804
994	9529	5794
995	9538	5784
996	9548	5774
997	9557	5764
998	9567	5756
999	9577	5746
1000	9587	5737
1001	9599	5728
1002	9607	5718
1003	9616	5708
1004	9625	5698
1005	9633	5688
1006	9641	5677
1007	9650	5667
1008	9659	5657
1009	9668	5647
1010	9681	5640
1011	9690	5630
1012	9699	5620
1013	9708	5610
1014	9716	5600
1015	9725	5590
1016	9733	5580
1017	9743	5570
1018	9751	5560
1019	9761	5550
1020	9769	5540
1021	9779	5530
1022	9788	5520
1023	9797	5511
1024	9808	5502
1025	9817	5492
1026	9826	5482
1027	9835	5472
1028	9844	5462
1029	9852	5452
1030	9862	5442
1031	9871	5433
1032	9879	5422
1033	9888	5412
1034	9896	5402
1035	9906	5393
1036	9914	5382
1037	9924	5373
1038	9933	5363
1039	9942	5353
1040	9952	5344
1041	9962	5335
1042	9973	5326
1043	9983	5317
1044	9995	5308
1045	10006	5299
1046	10016	5290
1047	10025	5280
1048	10040	5274
1049	10050	5264
1050	10058	5254
1051	10068	5244
1052	10076	5234
1053	10086	5225
1054	10095	5215
1055	10104	5205
1056	10113	5195
1057	10121	5185
1058	10131	5175
1059	10141	5166
1060	10152	5157
1061	10162	5147
1062	10171	5138
1063	10181	5129
1064	10189	5118
1065	10198	5108
1066	10207	5098
1067	10217	5089
1068	10225	5079
1069	10234	5069
1070	10244	5059
1071	10253	5050
1072	10265	5041
1073	10274	5032
1074	10284	5022
1075	10293	5013
1076	10302	5002
1077	10311	4993
1078	10320	4983
1079	10329	4973
1080	10338	4963
1081	10348	4954
1082	10358	4944
1083	10366	4934
1084	10375	4924
1085	10384	4915
1086	10394	4905
1087	10403	4895
1088	10412	4886
1089	10422	4876
1090	10431	4866
1091	10440	4856
1092	10449	4847
1093	10460	4838
1094	10468	4827
1095	10477	4818
1096	10487	4808
1097	10495	4798
1098	10504	4788
1099	10512	4778
1100	10522	4769
1101	10531	4759
1102	10541	4749
1103	10549	4739
1104	10559	4730
1105	10568	4720
1106	10577	4710
1107	10586	4700
1108	10594	4690
1109	10605	4681
1110	10614	4671
1111	10623	4662
1112	10632	4652
1113	10641	4642
1114	10651	4633
1115	10660	4623
1116	10670	4614
1117	10680	4604
1118	10688	4594
1119	10697	4584
1120	10707	4575
1121	10716	4565
1122	10724	4555
1123	10733	4545
1124	10743	4535
1125	10752	4526
1126	10761	4516
1127	10769	4506
1128	10780	4497
1129	10788	4487
1130	10797	4477
1131	10805	4467
1132	10815	4457
1133	10823	4447
1134	10835	4439
1135	10845	4429
1136	10854	4420
1137	10864	4410
1138	10873	4400
1139	10882	4391
1140	10891	4381
1141	10901	4371
1142	10910	4362
1143	10919	4352
1144	10929	4343
1145	10937	4333
1146	10947	4323
1147	10956	4313
1148	10964	4303
1149	10973	4293
1150	10982	4284
1151	10993	4275
1152	11002	4265
1153	11013	4256
1154	11022	4246
1155	11031	4236
1156	11041	4227
1157	11049	4217
1158	11058	4207
1159	11066	4197
1160	11075	4187
1161	11083	4177
1162	11093	4168
1163	11101	4158
1164	11111	4148
1165	11120	4139
1166	11128	4129
1167	11138	4119
1168	11145	4109
1169	11155	4099
1170	11164	4090
1171	11174	4080
1172	11183	4070
1173	11193	4061
1174	11202	4051
1175	11211	4042
1176	11220	4032
1177	11228	4022
1178	11238	4013
1179	11247	4003
1180	11256	3993
1181	11265	3983
1182	11274	3974
1183	11283	3964
1184	11293	3955
1185	11303	3945
1186	11312	3936
1187	11322	3926
1188	11332	3917
1189	11340	3907
1190	11349	3897
1191	11357	3887
1192	11366	3877
1193	11374	3867
1194	11383	3857
1195	11392	3848
1196	11402	3838
1197	11411	3829
1198	11420	3819
1199	11429	3809
1200	11438	3800
1201	11448	3790
1202	11456	3780
1203	11465	3771
1204	11474	3761
1205	11484	3751
1206	11493	3742
1207	11502	3732
1208	11512	3723
1209	11520	3713
1210	11530	3703
1211	11539	3694
1212	11549	3684
1213	11558	3675
1214	11567	3665
1215	11576	3655
1216	11585	3646
1217	11596	3637
1218	11604	3627
1219	11615	3617
1220	11625	3608
1221	11634	3598
1222	11645	3589
1223	11655	3580
1224	11664	3570
1225	11676	3561
1226	11685	3552
1227	11694	3542
1228	11702	3532
1229	11712	3523
1230	11721	3513
1231	11730	3503
1232	11740	3494
1233	11748	3484
1234	11757	3474
1235	11766	3465
1236	11775	3455
1237	11784	3445
1238	11793	3436
1239	11803	3426
1240	11811	3416
1241	11821	3407
1242	11829	3397
1243	11839	3388
1244	11848	3378
1245	11857	3368
1246	11865	3358
1247	11873	3349
1248	11884	3339
1249	11894	3330
1250	11903	3320
1251	11912	3311
1252	11922	3301
1253	11930	3291
1254	11938	3281
1255	11947	3272
1256	11956	3262
1257	11965	3252
1258	11975	3243
1259	11985	3234
1260	11995	3224
1261	12005	3215
1262	12017	3206
1263	12027	3197
1264	12037	3187
1265	12048	3178
1266	12058	3169
1267	12067	3159
1268	12077	3150
1269	12088	3141
1270	12098	3131
1271	12106	3121
1272	12116	3112
1273	12125	3102
1274	12135	3093
1275	12145	3083
1276	12154	3074
1277	12165	3065
1278	12174	3055
1279	12183	3045
1280	12192	3036
1281	12201	3026
1282	12212	3017
1283	12221	3007
1284	12226	2997
1285	12235	2987
1286	12244	2977
1287	12252	2968
1288	12262	2958
1289	12271	2948
1290	12280	2939
1291	12289	2929
1292	12298	2919
1293	12307	2910
1294	12316	2900
1295	12325	2891
1296	12335	2881
1297	12344	2872
1298	12353	2862
1299	12363	2853
1300	12374	2843
1301	12383	2834
1302	12394	2825
1303	12404	2815
1304	12413	2806
1305	12423	2796
1306	12431	2786
1307	12441	2777
1308	12449	2767
1309	12459	2758
1310	12469	2748
1311	12477	2739
1312	12488	2729
1313	12496	2720
1314	12507	2710
1315	12515	2700
1316	12524	2691
1317	12534	2681
1318	12542	2672
1319	12551	2662
1320	12559	2652
1321	12569	2643
1322	12578	2633
1323	12588	2624
1324	12598	2614
1325	12606	2605
1326	12616	2595
1327	12626	2586
1328	12636	2576
1329	12645	2567
1330	12656	2557
1331	12669	2549
1332	12678	2539
1333	12688	2530
1334	12699	2520
1335	12708	2511
1336	12718	2501
1337	12727	2492
1338	12735	2482
1339	12744	2472
1340	12752	2463
1341	12762	2453
1342	12771	2443
1343	12781	2434
1344	12790	2424
1345	12801	2415
1346	12810	2406
1347	12818	2396
1348	12827	2386
1349	12835	2377
1350	12845	2367
1351	12854	2357
1352	12864	2348
1353	12873	2338
1354	12882	2329
1355	12891	2319
1356	12900	2310
1357	12909	2300
1358	12919	2291
1359	12929	2281
1360	12939	2272
1361	12949	2262
1362	12961	2253
1363	12971	2244
1364	12981	2234
1365	12992	2225
1366	13001	2216
1367	13011	2206
1368	13020	2197
1369	13029	2187
1370	13038	2177
1371	13047	2168
1372	13058	2158
1373	13066	2149
1374	13075	2139
1375	13084	2130
1376	13093	2120
1377	13103	2110
1378	13119	2102
1379	13127	2092
1380	13137	2083
1381	13145	2073
1382	13155	2064
1383	13163	2054
1384	13173	2045
1385	13182	2035
1386	13193	2026
1387	13203	2016
1388	13212	2007
1389	13221	1997
1390	13229	1987
1391	13238	1978
1392	13246	1968
1393	13255	1958
1394	13264	1949
1395	13272	1939
1396	13282	1930
1397	13290	1920
1398	13301	1911
1399	13310	1901
1400	13319	1891
1401	13328	1882
1402	13337	1872
1403	13347	1863
1404	13355	1853
1405	13365	1844
1406	13374	1834
1407	13383	1825
1408	13391	1815
1409	13401	1805
1410	13410	1796
1411	13419	1786
1412	13428	1777
1413	13437	1767
1414	13446	1758
1415	13455	1748
1416	13465	1738
1417	13474	1729
1418	13483	1719
1419	13493	1710
1420	13502	1700
1421	13511	1691
1422	13519	1681
1423	13529	1672
1424	13537	1662
