event_id,raceId,driverId,constructorId,circuitId,year,round,race_name,constructor_name,circuit_name,pit_lap,stop_number,stop_duration_ms,race_total_laps,grid_position,current_position,driver_champ_points,constructor_champ_points,lap_time_delta_ms,laps_since_last_pit,laps_remaining,approx_gap_ahead_s,approx_gap_behind_s,safety_car_likely,recent_pace_delta_ms,position_change_from_grid,same_lap_pitters,pit_window_density,stint_extension_laps,race_progress,stint_fraction,pressure_index,strategy
1028_807_1,1028,807,4,69,2019,19,United States Grand Prix,Renault,Circuit of the Americas,27,1,24245,56,11,10,35.0,73.0,3601,27.0,29,2.455,1.991,0,1961.3333333333285,1,0,0,12.0,0.48214285714285715,0.48214285714285715,0.6237719429392857,Standard
1028_825_1,1028,825,210,69,2019,19,United States Grand Prix,Haas F1 Team,Circuit of the Americas,18,1,24929,56,12,14,20.0,28.0,494,18.0,38,7.107,0.662,0,1086.3333333333285,-2,2,3,3.0,0.32142857142857145,0.32142857142857145,0.7250349084009793,Standard
1028_840_2,1028,840,211,69,2019,19,United States Grand Prix,Racing Point,Circuit of the Americas,29,2,25195,56,14,11,21.0,64.0,637,20.0,27,8.683,0.283,0,274.0,3,0,1,3.0,0.5178571428571429,0.35714285714285715,0.8826970055997249,Standard
1028_848_1,1028,848,9,69,2019,19,United States Grand Prix,Red Bull,Circuit of the Americas,1,1,34100,56,6,11,74.0,341.0,0,1.0,55,0.582,0.076,0,,-5,0,0,-14.0,0.017857142857142856,0.017857142857142856,1.561479281320055,Undercut
1028_8_1,1028,8,51,69,2019,19,United States Grand Prix,Alfa Romeo,Circuit of the Americas,18,1,24544,56,17,9,31.0,35.0,1271,18.0,38,2.51,0.631,0,634.0,8,1,2,3.0,0.32142857142857145,0.32142857142857145,0.8980210696948894,Standard
1029_154_1,1029,154,210,18,2019,20,Brazilian Grand Prix,Haas F1 Team,Autódromo José Carlos Pace,26,1,23776,71,7,9,8.0,28.0,5419,26.0,45,1.462,1.761,0,984.6666666666715,-2,1,3,15.0,0.36619718309859156,0.36619718309859156,0.7683614555881784,Standard
1029_840_1,1029,840,211,18,2019,20,Brazilian Grand Prix,Racing Point,Autódromo José Carlos Pace,28,1,23346,71,17,11,21.0,65.0,4281,28.0,43,0.005,4.466,0,598.3333333333285,6,0,5,17.0,0.39436619718309857,0.39436619718309857,1.177974015760932,Overcut
1029_8_1,1029,8,51,18,2019,20,Brazilian Grand Prix,Alfa Romeo,Autódromo José Carlos Pace,21,1,23463,71,8,9,31.0,35.0,4825,21.0,50,0.298,1.766,0,662.3333333333285,-1,1,4,10.0,0.29577464788732394,0.29577464788732394,1.1319489241471667,Standard
1030_1_1,1030,1,131,24,2019,21,Abu Dhabi Grand Prix,Mercedes,Yas Marina Circuit,26,1,22178,55,1,1,387.0,701.0,2593,26.0,29,,27.457,0,1083.6666666666715,0,0,2,13.0,0.4727272727272727,0.4727272727272727,,Standard
1030_817_1,1030,817,4,24,2019,21,Abu Dhabi Grand Prix,Renault,Yas Marina Circuit,11,1,21904,55,7,8,54.0,91.0,1812,11.0,44,0.88,0.552,0,138.0,-1,0,0,-2.0,0.2,0.2,1.1762447905242377,Undercut
1030_825_1,1030,825,210,24,2019,21,Abu Dhabi Grand Prix,Haas F1 Team,Yas Marina Circuit,20,1,21531,55,14,9,20.0,28.0,2050,20.0,35,0.868,0.074,0,173.0,5,0,2,7.0,0.36363636363636365,0.36363636363636365,1.4664306022434095,Standard
1031_826_2,1031,826,213,70,2020,1,Austrian Grand Prix,AlphaTauri,Red Bull Ring,51,2,21622,71,13,9,0.0,0.0,18614,25.0,20,1.354,2.751,1,365.3333333333285,4,3,3,7.0,0.7183098591549296,0.352112676056338,0.6914044105372523,Standard
1031_832_1,1031,832,1,70,2020,1,Austrian Grand Prix,McLaren,Red Bull Ring,26,1,23827,71,8,7,0.0,0.0,20169,26.0,45,2.275,14.159,1,186.66666666667152,1,6,9,3.0,0.36619718309859156,0.36619718309859156,0.37131092354880507,Standard
1031_841_2,1031,841,51,70,2020,1,Austrian Grand Prix,Alfa Romeo,Red Bull Ring,55,2,22800,71,18,10,0.0,0.0,32223,30.0,16,0.129,1.292,1,26900.33333333333,8,0,0,12.0,0.7746478873239436,0.4225352112676056,1.3220397670798572,Undercut
1031_841_3,1031,841,51,70,2020,1,Austrian Grand Prix,Alfa Romeo,Red Bull Ring,56,3,19678,71,18,13,0.0,0.0,53491,1.0,15,1.345,,1,28875.0,5,12,13,0.0,0.7887323943661971,0.014084507042253521,,Emergency
1031_846_2,1031,846,1,70,2020,1,Austrian Grand Prix,McLaren,Red Bull Ring,51,2,21921,71,3,5,0.0,0.0,15063,25.0,20,5.456,4.932,1,39.33333333332848,-2,1,1,7.0,0.7183098591549296,0.352112676056338,0.3234718799847257,Standard
1031_849_1,1031,849,3,70,2020,1,Austrian Grand Prix,Williams,Red Bull Ring,26,1,22058,71,20,14,0.0,0.0,46004,26.0,45,0.27,0.335,1,5859.3333333333285,6,11,14,3.0,0.36619718309859156,0.36619718309859156,1.5364652452151346,Undercut
