event_id,raceId,driverId,constructorId,circuitId,year,round,race_name,constructor_name,circuit_name,pit_lap,stop_number,stop_duration_ms,race_total_laps,grid_position,current_position,driver_champ_points,constructor_champ_points,lap_time_delta_ms,laps_since_last_pit,laps_remaining,approx_gap_ahead_s,approx_gap_behind_s,safety_car_likely,recent_pace_delta_ms,position_change_from_grid,same_lap_pitters,pit_window_density,stint_extension_laps,race_progress,stint_fraction,pressure_index
1002_807_1,1002,807,4,14,2018,14,Italian Grand Prix,Renault,Autodromo Nazionale di Monza,1,1,25234,53,20,16,52.0,82.0,0,1.0,52,1.398,0.715,0,,4,0,0,-19.5,0.018867924528301886,0.018867924528301886,1.0001045574908147
1002_807_2,1002,807,4,14,2018,14,Italian Grand Prix,Renault,Autodromo Nazionale di Monza,41,2,24456,53,20,12,52.0,82.0,5482,40.0,12,1.08,1.412,0,871.0,8,0,2,20.5,0.7735849056603774,0.7547169811320755,0.8953629289450185
1002_815_1,1002,815,10,14,2018,14,Italian Grand Prix,Force India,Autodromo Nazionale di Monza,39,1,25655,53,14,6,40.0,18.0,5052,39.0,14,7.303,11.304,0,498.0,8,0,2,18.5,0.7358490566037735,0.7358490566037735,0.20171277807526286
1002_817_1,1002,817,9,14,2018,14,Italian Grand Prix,Red Bull,Autodromo Nazionale di Monza,1,1,24805,53,19,17,118.0,238.0,0,1.0,52,0.715,1.709,0,,2,1,1,-19.5,0.018867924528301886,0.018867924528301886,0.9522302830323713
1002_822_1,1002,822,131,14,2018,14,Italian Grand Prix,Mercedes,Autodromo Nazionale di Monza,36,1,23763,53,4,3,144.0,375.0,4888,36.0,17,2.702,15.647,0,623.6666666666715,1,0,3,15.5,0.6792452830188679,0.6792452830188679,0.3301951408009912
1002_825_1,1002,825,210,14,2018,14,Italian Grand Prix,Haas F1 Team,Autodromo Nazionale di Monza,4,1,38563,53,11,19,49.0,76.0,0,4.0,49,1.068,,0,5960.3333333333285,-8,0,0,-16.5,0.07547169811320754,0.07547169811320754,
1002_828_1,1002,828,15,14,2018,14,Italian Grand Prix,Sauber,Autodromo Nazionale di Monza,1,1,29992,53,18,19,6.0,19.0,0,1.0,52,13.398,,0,,-1,3,3,-19.5,0.018867924528301886,0.018867924528301886,
1002_828_2,1002,828,15,14,2018,14,Italian Grand Prix,Sauber,Autodromo Nazionale di Monza,42,2,25575,53,18,12,6.0,19.0,5905,41.0,11,7.432,0.134,0,1454.3333333333285,6,0,1,21.5,0.7924528301886793,0.7735849056603774,1.0004300405944935
1002_830_1,1002,830,9,14,2018,14,Italian Grand Prix,Red Bull,Autodromo Nazionale di Monza,26,1,24003,53,5,3,120.0,238.0,4935,26.0,27,2.809,0.259,0,348.3333333333285,2,0,1,5.5,0.49056603773584906,0.49056603773584906,1.0568172742497128
1002_838_1,1002,838,1,14,2018,14,Italian Grand Prix,McLaren,Autodromo Nazionale di Monza,24,1,24094,53,17,16,8.0,52.0,4450,24.0,29,2.658,42.825,0,139.0,1,0,1,3.5,0.4528301886792453,0.4528301886792453,0.29619145434351857
